Dia,Tratamiento,Peso_g,Peso_Anterior_g,Ganancia_Peso_g,Peso_Inicial_Promedio_g,Peso_Final_Promedio_g,Conversion_Alimenticia_Global
7,T0R5,3340,2395.0,945.0,39.4,3363.45,1.739702283014571
8,T0R5,40,3340.0,-3300.0,39.4,3363.45,1.739702283014571
8,T0R5,110,40.0,70.0,39.4,3363.45,1.739702283014571
8,T0R5,410,110.0,300.0,39.4,3363.45,1.739702283014571
8,T0R5,820,410.0,410.0,39.4,3363.45,1.739702283014571
8,T0R5,1365,820.0,545.0,39.4,3363.45,1.739702283014571
8,T0R5,1700,1365.0,335.0,39.4,3363.45,1.739702283014571
8,T0R5,2410,1700.0,710.0,39.4,3363.45,1.739702283014571
8,T0R5,3320,2410.0,910.0,39.4,3363.45,1.739702283014571
9,T0R5,40,3320.0,-3280.0,39.4,3363.45,1.739702283014571
9,T0R5,100,40.0,60.0,39.4,3363.45,1.739702283014571
9,T0R5,390,100.0,290.0,39.4,3363.45,1.739702283014571
9,T0R5,910,390.0,520.0,39.4,3363.45,1.739702283014571
9,T0R5,1210,910.0,300.0,39.4,3363.45,1.739702283014571
9,T0R5,1725,1210.0,515.0,39.4,3363.45,1.739702283014571
9,T0R5,2425,1725.0,700.0,39.4,3363.45,1.739702283014571
9,T0R5,3315,2425.0,890.0,39.4,3363.45,1.739702283014571
10,T0R5,40,3315.0,-3275.0,39.4,3363.45,1.739702283014571
10,T0R5,120,40.0,80.0,39.4,3363.45,1.739702283014571
10,T0R5,385,120.0,265.0,39.4,3363.45,1.739702283014571
10,T0R5,810,385.0,425.0,39.4,3363.45,1.739702283014571
10,T0R5,1220,810.0,410.0,39.4,3363.45,1.739702283014571
